fact_id,raw_text,interpretation_text,topic,header,mark_for_deletion,schema_type,prior_type,is_conceptual_start,source_name,source_type,source_reference,paragraph_id,sentence_in_paragraph_id,status,last_updated,notes
4f90fd4f38d72c1f,"This area assesses the potential to achieve authority, influence, a strong public reputation, and leadership roles.","This section evaluates the potential for authority, influence, a strong public reputation, and leadership roles.",,1. Prominence & Governance,,"[""house_profile""]",[],False,Gemini,AI_ASSISTED_BOOK,Page 1,1,1,RAW_ANNOTATED,2025-09-22T00:26:33.135498,Extracted via v2_ingest_wide.py
ee79aa2f3edf1253,It is the measure of one's rise in the public sphere.,It measures one's rise in the public sphere.,,1. Prominence & Governance,,"[""house_profile""]","[""house_profile""]",False,Gemini,AI_ASSISTED_BOOK,Page 1,1,2,RAW_ANNOTATED,2025-09-22T00:26:33.135548,Extracted via v2_ingest_wide.py
f9dbeae382f0f79b,"Primary Houses: The 1st House (Lagna - the self and status) and the 10th House (Karma Sthana - public status, power).","The primary houses related to this are the 1st house (Lagna, representing the self and status) and the 10th house (Karma Sthana, representing public status and power).",,Foundation Points:,,"[""house_profile""]","[""house_profile""]",True,Gemini,AI_ASSISTED_BOOK,Page 1,1,3,RAW_ANNOTATED,2025-09-22T00:26:33.135570,Extracted via v2_ingest_wide.py
664e4e05b239e860,"Key Planets (Grahas): The Sun (Surya - natural significator of authority), Mars (Mangala - command), Saturn (Shani - influence over the masses), and the Moon (Chandra - public perception).","The key planets are the Sun (Surya, natural significator of authority), Mars (Mangala, representing command), Saturn (Shani, signifying influence over the masses), and the Moon (Chandra, indicating public perception).",,Foundation Points:,,"[""planet_profile"", ""karaka""]","[""house_profile""]",True,Gemini,AI_ASSISTED_BOOK,Page 1,1,4,RAW_ANNOTATED,2025-09-22T00:26:33.135588,Extracted via v2_ingest_wide.py
486ec7ac808ad4db,The Ascendant Lord (Lagna Lord): Its strength and placement.,The strength and placement of the Ascendant Lord (Lagna Lord) are important.,,Foundation Points:,,"[""lordship"", ""placement""]","[""planet_profile"", ""karaka""]",True,Gemini,AI_ASSISTED_BOOK,Page 1,1,5,RAW_ANNOTATED,2025-09-22T00:26:33.135604,Extracted via v2_ingest_wide.py
1ceb166479d0c9f2,"Special Combinations (Yogas): Raja Yogas (combinations for power), Pancha Mahapurusha Yogas (combinations for greatness), and Gajakesari Yoga (combination for fame).","Special combinations (Yogas) like Raja Yogas (for power), Pancha Mahapurusha Yogas (for greatness), and Gajakesari Yoga (for fame) are relevant.",,Foundation Points:,,"[""yoga""]","[""lordship"", ""placement""]",True,Gemini,AI_ASSISTED_BOOK,Page 1,1,6,RAW_ANNOTATED,2025-09-22T00:26:33.135620,Extracted via v2_ingest_wide.py
08103fe3a40511cc,"The Atmakaraka (AK): The planet at the highest degree, signifying the soul's desire for authority or recognition.","The Atmakaraka (AK), the planet at the highest degree, signifies the soul's desire for authority or recognition.",,Foundation Points:,,"[""karaka""]","[""yoga""]",True,Gemini,AI_ASSISTED_BOOK,Page 1,1,7,RAW_ANNOTATED,2025-09-22T00:26:33.135634,Extracted via v2_ingest_wide.py
5a7ca6119d5bada3,The potential for prominence is not a single factor but a confluence.,The potential for prominence is a combination of factors.,,Interpretation at Source:,,"[""house_profile""]","[""karaka""]",False,Gemini,AI_ASSISTED_BOOK,Page 1,1,8,RAW_ANNOTATED,2025-09-22T00:26:33.135653,Extracted via v2_ingest_wide.py
1475288bae8d020f,"A powerful Lagna and Lagna Lord are essential, as they provide the personal drive and charisma to achieve high status.",A strong Lagna and Lagna Lord are essential for the personal drive and charisma needed to achieve high status.,,Interpretation at Source:,,"[""lordship"", ""house_profile""]","[""house_profile""]",False,Gemini,AI_ASSISTED_BOOK,Page 1,1,9,RAW_ANNOTATED,2025-09-22T00:26:33.135669,Extracted via v2_ingest_wide.py
5d9255421e70282d,"When the Lagna Lord is placed in the 10th house, or conjunct the 10th lord, the individual's entire identity becomes synonymous with their public role and authority.","When the Lagna Lord is placed in the 10th house, or conjunct the 10th lord, the individual's identity becomes strongly associated with their public role and authority.",,Interpretation at Source:,,"[""lordship"", ""placement"", ""conjunction""]","[""lordship"", ""house_profile""]",False,Gemini,AI_ASSISTED_BOOK,Page 1,1,10,RAW_ANNOTATED,2025-09-22T00:26:33.135687,Extracted via v2_ingest_wide.py
3c336377ecdb25a2,The Sun acts as the universal indicator of leadership.,The Sun is a universal indicator of leadership.,,Interpretation at Source:,,"[""planet_profile"", ""karaka""]","[""lordship"", ""placement"", ""conjunction""]",True,Gemini,AI_ASSISTED_BOOK,Page 1,1,11,RAW_ANNOTATED,2025-09-22T00:26:33.135702,Extracted via v2_ingest_wide.py
1729f8bd8e6a4381,"Its placement in the 10th house is a powerful signature for a career in governance, politics, or a high-level executive position.","The Sun's placement in the 10th house is a strong indicator of a career in governance, politics, or a high-level executive position.",,Interpretation at Source:,,"[""planet_profile"", ""placement""]","[""planet_profile"", ""karaka""]",False,Gemini,AI_ASSISTED_BOOK,Page 1,1,12,RAW_ANNOTATED,2025-09-22T00:26:33.135717,Extracted via v2_ingest_wide.py
4c0f87ec937c62b7,"The strength of Mars provides the executive ability and courage needed for military, defense, or management roles, especially when influencing the 3rd (courage) or 10th house.","A strong Mars provides the executive ability and courage for military, defense, or management roles, particularly when influencing the 3rd (courage) or 10th house.",,Interpretation at Source:,,"[""planet_profile"", ""aspect"", ""house_profile""]","[""planet_profile"", ""placement""]",True,Gemini,AI_ASSISTED_BOOK,Page 1,1,13,RAW_ANNOTATED,2025-09-22T00:26:33.135732,Extracted via v2_ingest_wide.py
27d6cd65132072aa,"Saturn, when strong, can bestow immense influence over the masses and success in democratic politics.",A strong Saturn can grant significant influence over the masses and success in democratic politics.,,Interpretation at Source:,,"[""planet_profile""]","[""planet_profile"", ""aspect"", ""house_profile""]",True,Gemini,AI_ASSISTED_BOOK,Page 1,1,14,RAW_ANNOTATED,2025-09-22T00:26:33.135747,Extracted via v2_ingest_wide.py
228937c6baabe802,"A bright and well-placed Moon is crucial for a positive public image, ensuring popularity and favor from the public.","A strong and well-placed Moon is essential for a positive public image, popularity, and public favor.",,Interpretation at Source:,,"[""planet_profile"", ""placement""]","[""planet_profile""]",True,Gemini,AI_ASSISTED_BOOK,Page 1,1,15,RAW_ANNOTATED,2025-09-22T00:26:33.135761,Extracted via v2_ingest_wide.py
06b0bfb13db3cee8,Malefic influences on the 10th house or the Moon can create a controversial or hard-won reputation.,Malefic influences on the 10th house or the Moon can lead to a controversial or hard-won reputation.,,Interpretation at Source:,,"[""planet_profile"", ""aspect"", ""house_profile""]","[""planet_profile"", ""placement""]",True,Gemini,AI_ASSISTED_BOOK,Page 1,1,16,RAW_ANNOTATED,2025-09-22T00:26:33.135775,Extracted via v2_ingest_wide.py
5af0ad743dcd7673,"Ultimately, true prominence is granted by Raja Yogas, formed by the connection of Kendra lords (1, 4, 7, 10) and Trikona lords (1, 5, 9).","True prominence is ultimately granted by Raja Yogas, formed by the connection of Kendra lords (1, 4, 7, 10) and Trikona lords (1, 5, 9).",,Interpretation at Source:,,"[""yoga"", ""lordship"", ""house_group_definition""]","[""planet_profile"", ""aspect"", ""house_profile""]",True,Gemini,AI_ASSISTED_BOOK,Page 1,1,17,RAW_ANNOTATED,2025-09-22T00:26:33.135790,Extracted via v2_ingest_wide.py
2df88c1ad926fe37,"The presence of one or more strong Raja Yogas elevates the chart from ordinary to extraordinary, promising positions of significant power and influence.",The presence of one or more strong Raja Yogas significantly enhances the potential for positions of power and influence.,,Interpretation at Source:,,"[""yoga""]","[""yoga"", ""lordship"", ""house_group_definition""]",False,Gemini,AI_ASSISTED_BOOK,Page 1,1,18,RAW_ANNOTATED,2025-09-22T00:26:33.135807,Extracted via v2_ingest_wide.py
fe9830862168c4dd,"Success in networking is seen via a strong 11th house (network) and its lord, especially when connected to the 10th or 1st lords.","Success in networking is indicated by a strong 11th house (network) and its lord, especially when connected to the 10th or 1st lords.",,Interpretation at Source:,,"[""house_profile"", ""lordship""]","[""yoga""]",True,Gemini,AI_ASSISTED_BOOK,Page 1,1,19,RAW_ANNOTATED,2025-09-22T00:26:33.135821,Extracted via v2_ingest_wide.py
b9ab365b1985c92b,"Your potential to achieve prominence, authority, and a respected public reputation is determined by the combined strength of your Ascendant, your 10th house, and key planets like the Sun.","The potential for prominence, authority, and a respected public reputation is determined by the combined strength of the Ascendant, the 10th house, and key planets like the Sun.",,Summary:,,"[""house_profile"", ""planet_profile""]","[""house_profile"", ""lordship""]",True,Gemini,AI_ASSISTED_BOOK,Page 1,1,20,RAW_ANNOTATED,2025-09-22T00:26:33.135835,Extracted via v2_ingest_wide.py
a7666316e27aa3f9,Powerful planetary combinations known as 'Raja Yogas' are the most significant indicators of a rise to leadership.,Powerful planetary combinations known as 'Raja Yogas' are strong indicators of a rise to leadership.,,Summary:,,"[""yoga""]","[""house_profile"", ""planet_profile""]",False,Gemini,AI_ASSISTED_BOOK,Page 1,1,21,RAW_ANNOTATED,2025-09-22T00:26:33.135849,Extracted via v2_ingest_wide.py
70ebc35920bed9d1,"Your public image and ability to influence others are further shaped by the condition of the Moon and your 11th house, which governs your professional network.","Public image and ability to influence others are also influenced by the condition of the Moon and the 11th house, which governs professional networks.",,Summary:,,"[""planet_profile"", ""house_profile""]","[""yoga""]",True,Gemini,AI_ASSISTED_BOOK,Page 1,1,22,RAW_ANNOTATED,2025-09-22T00:26:33.135863,Extracted via v2_ingest_wide.py
