fact_id,raw_text,source_page,source_name,last_updated,schema_type,topic,theme,theme_group,sub_theme,astrological_trigger_json,ai_summary
cf1ed761b2756da6b2e4d13aa7d0a22a2f6923e0b6ad50f33b1c393d5c4f3784,"(A) Activation: During [MD], activate houses the MD lord owns/occupies/aspects; include karaka domains.",p77,GeminiAI-2,2025-09-24T05:40:25.332346,karaka,,timing_windows,Dashas & Sub-Dashas,vimshottari_dasha,"{""type"": ""karaka"", ""karaka_type"": null, ""planet_name"": null, ""signification"": null}","During a Mahadasha (MD) period, activate the astrological houses ruled, occupied, or aspected by the planet that governs the MD, along with the domains associated with its karaka (significator) functions. (Additional Context: Activating houses during a Mahadasha involves focusing on the themes related to those houses.  The MD lord's influence on these houses can manifest as opportunities, challenges, or life lessons related to the house's significations.  Considering the karaka domains adds another layer of interpretation, revealing potential events or situations related to the planet's specific roles.)"
3ee0e180a6b1798096675feefcf04c5b211bca7231fb6968151d1b1bfd6c0323,"(A) Activation: During [MD], activate houses the MD lord owns/occupies/aspects; include karaka domains.",p77,GeminiAI-2,2025-09-24T05:40:25.332377,lordship,,timing_windows,Dashas & Sub-Dashas,vimshottari_dasha,"{""type"": ""lordship"", ""lord_of_house"": null, ""placed_in_house"": null, ""planet_name"": null}","During a Mahadasha (MD) period, the houses ruled/occupied/aspected by the planet associated with that MD are activated.  Consider also the karaka (significator) domains of the MD planet."
386de24b57ef790f347971287ef5a56566482abc5005891d789f639e8ea9064d,"(A) Activation: During [MD], activate houses the MD lord owns/occupies/aspects; include karaka domains.",p77,GeminiAI-2,2025-09-24T05:40:25.332386,dasha,,timing_windows,Dashas & Sub-Dashas,vimshottari_dasha,"{""type"": ""dasha"", ""system"": null, ""mahadasha_lord"": null, ""duration_years"": null, ""antardasha_lord"": null, ""pratyantardasha_lord"": null, ""condition"": ""(A) Activation: During [MD], activate houses the MD lord owns/occupies/aspects; include karaka domains.""}","Activate the houses owned, occupied, or aspected by the Mahadasha lord during the Mahadasha period. Also consider the karaka domains ruled by the Mahadasha lord."
3c1e3481a2ec9c2594286d316f5ac8a23075ec09868b1b8b12ebda734686f91a,"(A) Activation: During [MD], activate houses the MD lord owns/occupies/aspects; include karaka domains.",p77,GeminiAI-2,2025-09-24T05:40:25.332392,house_profile,,timing_windows,Dashas & Sub-Dashas,vimshottari_dasha,"{""type"": ""house_profile"", ""house"": null, ""planet_in_house"": null, ""aspected_by_planet"": null, ""state"": ""activation"", ""classifications"": null, ""karakas"": null, ""significations"": null}","During the Mahadasha period, activate the houses owned, occupied, or aspected by the Mahadasha lord. Also, consider the domains ruled by the karakas. (Additional Context: The activation of houses during a Mahadasha period suggests that these areas of life will be prominent and experience significant activity. The influence of the Mahadasha lord on these houses, through ownership, occupation, or aspect, will shape the events and experiences related to those houses. Considering the karaka domains adds another layer of interpretation, indicating that the significations of the karakas will also be activated during this period.)"
947282f55810d6d088b8054475053e5fbedddd57ea9adddd2ee14b0c900ccee5,"(A) Activation: During [MD], activate houses the MD lord owns/occupies/aspects; include karaka domains.",p77,GeminiAI-2,2025-09-24T05:40:25.332398,aspect,,timing_windows,Dashas & Sub-Dashas,vimshottari_dasha,"{""type"": ""aspect"", ""source_planet"": null, ""target_house"": null, ""relative_aspect_number"": null, ""planet_nature"": null, ""source_sign"": null, ""target_sign"": null, ""strength"": null}","During a Mahadasha (MD) period, the houses ruled/occupied/aspected by the MD lord are activated, including the domains it signifies as a karaka. (Additional Context: The activation of houses during a Mahadasha suggests that the themes related to those houses will be prominent during that period. The specific results will depend on the nature of the MD lord and the other planetary influences on those houses.  Karaka domains refer to the natural significations of the planet, which will also be highlighted during the MD.)"
0e5653e703ff23ec83a963f75d3ced3eaad5d4122996b2993dc85c433a92dd5f,"(C) Nodes: If MD/AD is Rahu/Ketu, route delivery via sign lord, conjunctions, and aspects.",p77,GeminiAI-2,2025-09-24T05:40:25.332717,sign_trait,,"doshas,karma_past_life,timing_windows","Dashas & Sub-Dashas,Malefic Influences","rahu_ketu_affliction,vimshottari_dasha","{""type"": ""sign_trait"", ""sign"": null, ""element"": null, ""planet_name"": ""Rahu"", ""house"": null, ""modality"": null, ""ruler"": null}","If the Mahadasha or Antardasha is Rahu or Ketu, the delivery of results should be interpreted through the sign lord, conjunctions, and aspects the nodes receive. (Additional Context: This suggests that Rahu and Ketu, being shadow planets, don't have inherent qualities.  Their impact is felt through the planets they associate with or the signs they occupy. The sign lord, conjunctions, and aspects color the results of the dasha.)"
31abad65ccee671183ebef08ad77acbd5a8c1f06ce2262bbb770a2c049a63642,"(C) Nodes: If MD/AD is Rahu/Ketu, route delivery via sign lord, conjunctions, and aspects.",p77,GeminiAI-2,2025-09-24T05:40:25.332722,lordship,,"doshas,karma_past_life,timing_windows","Dashas & Sub-Dashas,Malefic Influences","rahu_ketu_affliction,vimshottari_dasha","{""type"": ""lordship"", ""lord_of_house"": null, ""placed_in_house"": null, ""planet_name"": ""Rahu/Ketu""}","When the Mahadasha/Antardasha periods involve Rahu or Ketu, the effects are channeled through the ruler of the sign they occupy, any planets conjunct with them, and any planets aspecting them. (Additional Context: Rahu and Ketu, being shadow planets, don't have inherent qualities like other planets.  Their influence takes on the characteristics of the planets they associate with. Therefore, understanding the sign lord, conjunctions, and aspects is crucial for interpreting their impact during their planetary periods.)"
9c9eb0d65583735f14df0e272fc5a17aef388208293f83e3a2c2e7d389208b3f,"(C) Nodes: If MD/AD is Rahu/Ketu, route delivery via sign lord, conjunctions, and aspects.",p77,GeminiAI-2,2025-09-24T05:40:25.332729,planet_profile,,"doshas,karma_past_life,timing_windows","Dashas & Sub-Dashas,Malefic Influences","rahu_ketu_affliction,vimshottari_dasha","{""type"": ""planet_profile"", ""planet_name"": ""Rahu/Ketu"", ""house"": null, ""aspects_house"": null, ""karaka_for"": null, ""state"": null, ""sign"": null, ""friends"": null, ""enemies"": null, ""neutral_to"": null}","In cases where the Mahadasha or Antardasha is Rahu/Ketu, the delivery or manifestation of results should be interpreted through the sign lord, conjunctions, and aspects influencing these nodes. (Additional Context: Rahu and Ketu, being shadow planets, do not have signs or houses of their own. They operate through the signs and houses they occupy, and their influence is further modified by planets aspecting or conjoining them.  The sign lord of the house where Rahu/Ketu are placed becomes crucial in understanding how their energy will manifest. Conjunctions with other planets can either amplify or diminish certain effects, while aspects from other planets add another layer of complexity to their interpretation.)"
8b8a4ad2b214716d7007f9942383cecf090837d0ca6c13c01dcd3ac929fbe440,"(C) Nodes: If MD/AD is Rahu/Ketu, route delivery via sign lord, conjunctions, and aspects.",p77,GeminiAI-2,2025-09-24T05:40:25.332734,dasha,,"doshas,timing_windows","Dashas & Sub-Dashas,Malefic Influences","rahu_ketu_affliction,vimshottari_dasha","{""type"": ""dasha"", ""system"": null, ""mahadasha_lord"": ""Rahu"", ""duration_years"": null, ""antardasha_lord"": ""Ketu"", ""pratyantardasha_lord"": null, ""condition"": null}","In the case of Rahu or Ketu being the Mahadasha or Antardasha lord, the results should be interpreted through the ruler of the sign they occupy, any planets conjunct with them, and any planets aspecting them. (Additional Context: Rahu and Ketu are shadowy planets, and their impact is often experienced through the planets they associate with.  Analyzing the sign lord, conjunctions, and aspects helps understand the specific areas of life where Rahu and Ketu's energy will manifest.)"
bba6ddd76389b6d7f2ed825166530af5ab35afe245236ecf8bd63240df3457b3,"(C) Nodes: If MD/AD is Rahu/Ketu, route delivery via sign lord, conjunctions, and aspects.",p77,GeminiAI-2,2025-09-24T05:40:25.332738,aspect,,"doshas,karma_past_life,timing_windows","Dashas & Sub-Dashas,Malefic Influences","rahu_ketu_affliction,vimshottari_dasha","{""type"": ""aspect"", ""source_planet"": ""Rahu/Ketu"", ""target_house"": null, ""relative_aspect_number"": null, ""planet_nature"": null, ""source_sign"": null, ""target_sign"": null, ""strength"": null}","In cases where the Mahadasha/Antardasha periods are ruled by Rahu or Ketu, the effects of these periods are delivered through the ruler of the sign Rahu/Ketu are placed in, any planets conjunct with them, and any planets aspecting them. (Additional Context: This highlights the importance of analyzing the entire planetary picture involving Rahu and Ketu, rather than just their isolated placements.  The sign lord, conjunctions, and aspects modify and channel Rahu/Ketu's energy, giving specific outcomes during their planetary periods.)"
