Fact ID,Topic,Raw Text,AI Summary,JSON,Theme,Group,Sub-Theme,Source,Page,Status,Last Updated,Notes
8ab6c4b744b697a205b1ba6bbf91540b4239085d3136f4ded2e9506299351a03,,"A) Activation: During [MD], activate houses the MD lord owns/occupies/aspects; include karaka domains","During the Mahadasha period, activate the houses owned, occupied, or aspected by the Mahadasha lord. Also consider the domains ruled by the Mahadasha lord as a karaka. (Additional Context: The activation of houses during a Mahadasha period suggests that the themes related to those houses will be prominent in a person's life during that time. The Mahadasha lord's karaka domains add another layer of interpretation, indicating specific areas of life that will be influenced by the planet's energy","{""type"": ""aspect"", ""source_planet"": null, ""target_house"": null, ""relative_aspect_number"": null, ""planet_nature"": null, ""source_sign"": null, ""target_sign"": null, ""strength"": null}",timing_windows,Dashas & Sub-Dashas,vimshottari_dasha,BPHS_GCS,p77-78,Passed,2025-09-23T10:42:33.461989,
76f417bff64d507598ef05e78fa20b87edd49f744afc1e8f2272f6b446fb341e,,"A) Activation: During [MD], activate houses the MD lord owns/occupies/aspects; include karaka domains","Activate the houses owned, occupied, or aspected by the Mahadasha lord during its period. Also, consider the domains ruled by the karaka","{""type"": ""karaka"", ""karaka_type"": ""MD"", ""planet_name"": null, ""signification"": ""houses the MD lord owns/occupies/aspects; include karaka domains""}",timing_windows,Dashas & Sub-Dashas,vimshottari_dasha,BPHS_GCS,p77-78,Passed,2025-09-23T10:42:33.461989,
80d61490df0236c5af2b839983001a5cdeddc43e88c84946b84c81e0664167f0,,"A) Activation: During [MD], activate houses the MD lord owns/occupies/aspects; include karaka domains","During a Mahadasha (MD) period, the astrological houses ruled, occupied, or aspected by the planet that governs the MD, as well as the domains associated with its karaka (significator) status, become activated. (Additional Context: The activation of houses during a Mahadasha suggests heightened influence and potential for events related to those areas of life. The specific effects depend on the nature of the MD lord and its placement in the birth chart. Favorable placements can bring opportunities and growth, while challenging placements may present obstacles or require adjustments","{""type"": ""lordship"", ""lord_of_house"": null, ""placed_in_house"": null, ""planet_name"": null}",timing_windows,Dashas & Sub-Dashas,vimshottari_dasha,BPHS_GCS,p77-78,Passed,2025-09-23T10:42:33.461989,
eab52ec539b804a55b830d7a3c5ce124e4cd622666f54919db3ebd4025ed34a6,,"A) Activation: During [MD], activate houses the MD lord owns/occupies/aspects; include karaka domains","During the Mahadasha period, activate the houses ruled, occupied, or aspected by the Mahadasha lord. Also activate the domains governed by the karakas. (Additional Context: The activation of houses during a Mahadasha period suggests that the energies of the ruling planet become more prominent, influencing the areas of life associated with those houses. The inclusion of karaka domains implies that the significations of the planets acting as karakas will also be emphasized during this time","{""type"": ""house_profile"", ""house"": null, ""planet_in_house"": null, ""aspected_by_planet"": null, ""state"": ""activate"", ""classifications"": [], ""karakas"": [], ""significations"": [""ownership"", ""occupation"", ""aspect"", ""karaka_domains""]}",timing_windows,Dashas & Sub-Dashas,vimshottari_dasha,BPHS_GCS,p77-78,Passed,2025-09-23T10:42:33.461989,
f464b0360d2391c7c7a1f75d36e62cba400d1ed9fd914fdc573c799228cc74b5,,"A) Activation: During [MD], activate houses the MD lord owns/occupies/aspects; include karaka domains","Activate the houses owned, occupied, or aspected by the Mahadasha lord during the Mahadasha period. Also, consider the karaka domains ruled by the Mahadasha lord","{""type"": ""dasha"", ""system"": null, ""mahadasha_lord"": null, ""duration_years"": null, ""antardasha_lord"": null, ""pratyantardasha_lord"": null, ""condition"": ""(A) Activation: During [MD], activate houses the MD lord owns/occupies/aspects; include karaka domains.""}",timing_windows,Dashas & Sub-Dashas,vimshottari_dasha,BPHS_GCS,p77-78,Passed,2025-09-23T10:42:33.461989,
e0074729e305d0b43f8322354eb0523d4e9ed0aa247f6b8ee70f07f9d35b045a,,"C) Nodes: If MD/AD is Rahu/Ketu, route delivery via sign lord, conjunctions, and aspects","In cases where the Lunar Nodes (Rahu and Ketu) are the significators (MD/AD), the astrological interpretation should be derived from the ruler of the sign they occupy, along with any planetary conjunctions and aspects they receive. (Additional Context: This technique suggests that Rahu and Ketu, being shadow planets, borrow the characteristics of the planets they associate with. The sign lord, conjunctions, and aspects modify their impact, offering a nuanced interpretation","{""type"": ""planet_profile"", ""planet_name"": ""Rahu/Ketu"", ""house"": null, ""aspects_house"": null, ""karaka_for"": [], ""state"": null, ""sign"": null, ""friends"": [], ""enemies"": [], ""neutral_to"": []}","Foundational Concepts,timing_windows","Astrological Principles,Dashas & Sub-Dashas","general_principle,vimshottari_dasha",BPHS_GCS,p77-78,Passed,2025-09-23T10:42:33.461989,
cc0c29b82e5658b7a373001226fa9dd60dbd59632fdd28bf0b1e191440cab873,,"C) Nodes: If MD/AD is Rahu/Ketu, route delivery via sign lord, conjunctions, and aspects","When the lunar nodes (Rahu or Ketu) are involved as the source of an aspect, the energy is routed through the ruler of the sign they occupy, along with any planets conjunct or aspecting them. (Additional Context: This technique suggests that Rahu and Ketu, being shadowy planets, operate through other planetary energies. Their influence is thus modified by the planets they associate with, taking on the qualities of the sign lord, conjunct planets, or planets aspecting them. This can lead to complex interpretations, requiring careful analysis of the involved planets and signs","{""type"": ""aspect"", ""source_planet"": ""Rahu/Ketu"", ""target_house"": null, ""relative_aspect_number"": null, ""planet_nature"": null, ""source_sign"": null, ""target_sign"": null, ""strength"": null}",Foundational Concepts,Astrological Principles,"classification,general_principle",BPHS_GCS,p77-78,Passed,2025-09-23T10:42:33.461989,
ca39d794db5e31a0162fe8c3ef103bcea2d729060eb7b9819900ed843e37824f,,"C) Nodes: If MD/AD is Rahu/Ketu, route delivery via sign lord, conjunctions, and aspects","In cases where the lunar nodes (Rahu and Ketu) are the lords of houses associated with a delivery or outcome (signifying the means or avenue of delivery), the actual delivery mechanism should be interpreted through the ruler of the sign where the nodes are placed, along with any planetary conjunctions or aspects influencing them. (Additional Context: This suggests that Rahu and Ketu, being shadowy planets, don't have a direct means of delivering results themselves. They operate through the energies of the planets they associate with, particularly the lord of the sign they occupy. The sign placement, conjunctions, and aspects to the nodes reveal the specific nature of the outcome","{""type"": ""lordship"", ""lord_of_house"": null, ""placed_in_house"": null, ""planet_name"": ""Rahu/Ketu""}",Foundational Concepts,Astrological Principles,general_principle,BPHS_GCS,p77-78,Passed,2025-09-23T10:42:33.461989,
ca1b0187027c71996d0ee44debe18885f398262201bb20e339874b138ef7f96a,,"C) Nodes: If MD/AD is Rahu/Ketu, route delivery via sign lord, conjunctions, and aspects","In situations where the lunar nodes (Rahu and Ketu) are involved, results should be interpreted through their sign lords, conjunctions, and planetary aspects they receive. (Additional Context: Rahu and Ketu are shadowy planets, or nodes, that hold karmic significance. Rahu, the north node, represents desires and ambitions, while Ketu, the south node, signifies past experiences and detachment. Their placement in a birth chart can indicate areas of focus and growth in this lifetime","{""type"": ""sign_trait"", ""sign"": null, ""element"": null, ""planet_name"": ""Rahu/Ketu"", ""house"": null, ""modality"": null, ""ruler"": null}","Foundational Concepts,doshas,karma_past_life","Astrological Principles,Malefic Influences,Past Life Patterns","karmic_debts_lessons,rahu_ketu_affliction",BPHS_GCS,p77-78,Passed,2025-09-23T10:42:33.461989,
800a7ad1547ffbff4c9141e72ed2111d51edf796cc5938a9343434781c09b1a1,,"C) Nodes: If MD/AD is Rahu/Ketu, route delivery via sign lord, conjunctions, and aspects","In the case of a Rahu/Ketu Mahadasha or Antardasha period, astrological interpretations should consider the sign lord, planetary conjunctions, and aspects related to Rahu and Ketu. (Additional Context: Rahu and Ketu are shadowy planets in Vedic astrology, representing karmic influences and desires. Rahu signifies worldly ambitions and Ketu signifies spiritual detachment. Their influence during these periods can bring about sudden changes and transformations, often related to past life karmas","{""type"": ""dasha"", ""system"": null, ""mahadasha_lord"": ""Rahu/Ketu"", ""duration_years"": null, ""antardasha_lord"": ""Rahu/Ketu"", ""pratyantardasha_lord"": null, ""condition"": ""If MD/AD is Rahu/Ketu, route delivery via sign lord, conjunctions, and aspects""}","doshas,karma_past_life,timing_windows","Dashas & Sub-Dashas,Malefic Influences,Past Life Patterns","karmic_debts_lessons,rahu_ketu_affliction,vimshottari_dasha",BPHS_GCS,p77-78,Passed,2025-09-23T10:42:33.461989,
