chunk_text,meta_source_ref,meta_concept_type,attr_name,meta_configurations_json,meta_themes,meta_groups,meta_sub_themes
"One born in Kamala yoga will be rich and virtuous, be long-lived, very famous, pure, will perform hundreds of auspicious acts and be a king.","BPHS1, Chapter 35 - NABHASA YOGAS (Part 2)",yoga,Kamala Yoga,"[{""type"": ""yoga"", ""name"": ""Kamala Yoga""}]","['career_public_life', 'health_risks_longevity', 'travel_dharma_spirituality', 'wealth_assets_resources', 'yogas']","['Dharma & Spiritual Path', 'Financial Dynamics', 'Longevity & Risks', 'Prominence & Governance', 'Strength & Success Yogas']","['wealth_stability', 'dhana_yogas', 'spiritual_growth', 'lifespan_overview', 'public_image_reputation', 'authority_leadership', 'politics_public_service']"
"One born in Vapi yoga will be capable of accumulating wealth, be endowed with lasting wealth, and happiness and sons, be free from eye afflictions and be a king.","BPHS1, Chapter 35 - NABHASA YOGAS (Part 2)",yoga,Vapi Yoga,"[{""type"": ""yoga"", ""name"": ""Vapi Yoga""}]","['career_public_life', 'family_lineage', 'health_risks_longevity', 'wealth_assets_resources']","['Assets & Property', 'Children & Descendants', 'Financial Dynamics', 'Mental & Emotional Health', 'Physical Health', 'Prominence & Governance']","['savings_investments', 'wealth_stability', 'emotional_resilience', 'childbearing_potential', 'lineage_continuity', 'general_health', 'authority_leadership']"
"One born in Yupa yoga will have spiritual knowledge, be interested in sacrificial rites, endowed with a wife, be strong, interested in fasts and other religious observations and be distinguished.","BPHS1, Chapter 35 - NABHASA YOGAS (Part 2)",yoga,Yupa Yoga,"[{""type"": ""yoga"", ""name"": ""Yupa Yoga""}]","['career_public_life', 'health_risks_longevity', 'relationships', 'travel_dharma_spirituality']","['Dharma & Spiritual Path', 'Physical Health', 'Prominence & Governance', 'Romantic & Marriage']","['spiritual_learning', 'religious_alignment', 'marriage_spouse', 'vitality_energy_levels', 'public_image_reputation']"
"One born in Sara yoga will make arrows, be head of prison, will earn through animals, will eat meat and indulge in torture and mean handiworks.","BPHS1, Chapter 35 - NABHASA YOGAS (Part 2)",yoga,Sara Yoga,"[{""type"": ""yoga"", ""name"": ""Sara Yoga""}]","['career_public_life', 'core_self_vitality', 'wealth_assets_resources']","['Identity & Personality', 'Income & Earnings', 'Profession & Field', 'Prominence & Governance']","['other_profession_type', 'authority_leadership', 'military_defense_security', 'income_primary', 'self_identity_character']"
"One born in Sakthi yoga will be bereft of wealth, be unsuccessful, miserable, mean, lazy, long-lived, interested and skilful in war, firm and auspicious.","BPHS1, Chapter 35 - NABHASA YOGAS (Part 2)",yoga,Sakthi Yoga,"[{""type"": ""yoga"", ""name"": ""Sakthi Yoga""}]","['career_public_life', 'core_self_vitality', 'health_risks_longevity', 'home_property_vehicles']","['Career Dynamics', 'Identity & Personality', 'Longevity & Risks', 'Mental & Emotional Health', 'Prominence & Governance', 'Purpose & Direction', 'Residence & Property']","['debts_liabilities', 'other_career_dynamics', 'stress_anxiety', 'self_identity_character', 'lifespan_overview', 'military_defense_security', 'resilience_adaptability']"
"One born in Danda yoga will lose his sons and wife, be indigent, unkind, away from his men, miserable and will serve mean people.","BPHS1, Chapter 35 - NABHASA YOGAS (Part 2)",yoga,Danda Yoga,"[{""type"": ""yoga"", ""name"": ""Danda Yoga""}]","['career_public_life', 'core_self_vitality', 'family_lineage', 'health_risks_longevity', 'home_property_vehicles', 'relationships']","['Children & Descendants', 'Identity & Personality', 'Mental & Emotional Health', 'Profession & Field', 'Residence & Property', 'Romantic & Marriage', 'Social & Family Relations']","['other_children_descendants', 'other_romantic_marriage', 'debts_liabilities', 'self_identity_character', 'friendships_social_circle', 'stress_anxiety', 'service_employment']"
"One born in Nauka yoga will derive his livelihood through water, be wealthy, famous. wicked, wretched, dirty and miserly.","BPHS1, Chapter 35 - NABHASA YOGAS (Part 2)",yoga,Nauka Yoga,"[{""type"": ""yoga"", ""name"": ""Nauka Yoga""}]","['career_public_life', 'core_self_vitality', 'wealth_assets_resources']","['Financial Dynamics', 'Identity & Personality', 'Income & Earnings', 'Profession & Field', 'Prominence & Governance']","['income_primary', 'other_profession_type', 'wealth_stability', 'public_image_reputation', 'self_identity_character']"
"One born in Koota yoga will be a liar, will head a jail, be poor, crafty, cruel and will live in hills and fortresses.","BPHS1, Chapter 35 - NABHASA YOGAS (Part 2)",yoga,Koota Yoga,"[{""type"": ""yoga"", ""name"": ""Koota Yoga""}]","['career_public_life', 'core_self_vitality', 'home_property_vehicles']","['Identity & Personality', 'Prominence & Governance', 'Residence & Property']","['self_identity_character', 'authority_leadership', 'military_defense_security', 'debts_liabilities', 'relocation_residence_changes']"
"One born in Chatra yoga will help his own men, be kind, dear to many kings, very intelligent, be happy at the beginning and end of his life and be long-lived.","BPHS1, Chapter 35 - NABHASA YOGAS (Part 2)",yoga,Chatra Yoga,"[{""type"": ""yoga"", ""name"": ""Chatra Yoga""}]","['career_public_life', 'core_self_vitality', 'family_lineage', 'health_risks_longevity', 'learning_education_creativity']","['Extended Family Dynamics', 'Identity & Personality', 'Longevity & Risks', 'Mental & Emotional Health', 'Prominence & Governance', 'Skills & Creativity']","['family_support_conflicts', 'self_identity_character', 'networking_influence', 'intellectual_skills', 'emotional_resilience', 'lifespan_overview']"
"One born in Chapa yoga will be a liar, will protect secrets, be a thief, be fond of wandering in forests, be devoid of luck and be happy in the middle of his life.","BPHS1, Chapter 35 - NABHASA YOGAS (Part 2)",yoga,Chapa Yoga,"[{""type"": ""yoga"", ""name"": ""Chapa Yoga""}]","['career_public_life', 'core_self_vitality', 'health_risks_longevity', 'travel_dharma_spirituality']","['Career Dynamics', 'Identity & Personality', 'Mental & Emotional Health', 'Travel & Journeys']","['self_identity_character', 'short_travel_local', 'other_career_dynamics', 'emotional_resilience']"
